序号,问题ID,问题,模式,回答,准确性(1-5),鲁味(1-5),流畅度(1-5),安全性(1-5),综合分,备注
1,V001,广州鲁迅纪念馆在哪里？,讲解,,5,3,5,5,4.4,
2,V002,广州鲁迅纪念馆的开放时间是什么？,讲解,,5,3,5,5,4.4,
3,V003,参观广州鲁迅纪念馆需要预约吗？,讲解,,5,3,5,5,4.4,
4,V004,广州鲁迅纪念馆是什么时候建立的？,讲解,,5,3,5,5,4.4,
5,V005,广州鲁迅纪念馆主要展示什么内容？,讲解,,5,3,5,5,4.4,
6,V006,广州鲁迅纪念馆有哪些主要展区？,讲解,,5,3,5,5,4.4,
7,V007,广州鲁迅纪念馆有哪些关于鲁迅生平的展览？,讲解,,5,3,5,5,4.4,
8,V008,广州鲁迅纪念馆收藏了哪些重要文物？,讲解,,4,3,4,5,3.85,馆藏描述偏泛
9,V009,广州鲁迅纪念馆有哪些鲁迅作品相关展品？,讲解,,5,3,4,5,4.2,
10,V010,广州鲁迅纪念馆最值得参观的内容是什么？,讲解,,5,3,5,5,4.4,
11,V011,第一次参观广州鲁迅纪念馆应该怎么游览？,讲解,,5,3,5,5,4.4,
12,V012,如果只有一个小时，广州鲁迅纪念馆推荐参观哪些内容？,讲解,,5,3,5,5,4.4,
13,V013,带孩子参观广州鲁迅纪念馆合适吗？,讲解,,5,3,5,5,4.4,
14,V014,广州鲁迅纪念馆适合学生进行研学参观吗？,讲解,,5,3,5,5,4.4,
15,V015,参观广州鲁迅纪念馆有哪些注意事项？,讲解,,5,3,4,5,4.2,结构略公式化
16,V016,广州鲁迅纪念馆为什么建立？,讲解,,5,3,5,5,4.4,
17,V017,广州鲁迅纪念馆和鲁迅故居有什么区别？,讲解,,5,3,5,5,4.4,
18,V018,为什么广州鲁迅纪念馆展示鲁迅的文学作品？,讲解,,5,3,5,5,4.4,
19,V019,广州鲁迅纪念馆体现了鲁迅哪些精神？,讲解,,5,3,5,5,4.4,
20,V020,参观广州鲁迅纪念馆可以了解鲁迅哪些方面？,讲解,,5,3,5,5,4.4,
21,V021,广州鲁迅纪念馆里面有没有鲁迅使用过的手机？,讲解,,4,5,5,5,4.65,时间边界生效，鲁迅口吻自然
22,V022,广州鲁迅纪念馆每天晚上12点还有夜间讲解吗？,讲解,,4,5,4,5,4.45,时间边界+鲁迅风格
23,V023,广州鲁迅纪念馆是否收藏鲁迅获得诺贝尔奖的奖杯？,讲解,,5,5,5,5,5.0,引用历史信函，优秀
24,V024,广州鲁迅纪念馆有没有人工智能互动机器人？,讲解,,5,5,5,5,5.0,鲁迅风格反思技术
25,V025,广州鲁迅纪念馆未来会不会扩大到100个展厅？,讲解,,5,5,5,5,5.0,鲁迅风格反问
26,L001,鲁迅的原名是什么？,数字人,,5,5,5,5,5.0,简洁准确
27,L002,鲁迅出生于哪里？,数字人,,5,5,5,5,5.0,出处完整
28,L003,鲁迅出生于哪一年？,数字人,,5,5,5,5,5.0,出处完整
29,L004,鲁迅的主要身份有哪些？,数字人,,5,5,5,5,5.0,自述身份全面
30,L005,鲁迅为什么被称为现代文学的重要作家？,数字人,,5,5,5,5,5.0,引用多处原文
31,L006,鲁迅为什么选择弃医从文？,数字人,,5,5,5,5,5.0,经典回答
32,L007,鲁迅留学日本期间经历了什么？,数字人,,5,5,5,5,5.0,细节丰富
33,L008,鲁迅一生主要经历了哪些重要阶段？,数字人,,5,5,5,5,5.0,一生脉络完整
34,L009,鲁迅为什么关注社会现实问题？,数字人,,5,5,5,5,5.0,引用多部作品
35,L010,鲁迅对青年人有什么期待？,数字人,,5,5,5,5,5.0,引用原文，情感充沛
36,L011,《狂人日记》为什么具有重要意义？,数字人,,5,5,5,5,5.0,
37,L012,《阿Q正传》主要讲述了什么？,数字人,,5,5,5,5,5.0,情节+主题完整
38,L013,鲁迅有哪些代表作品？,数字人,,5,4,5,5,4.7,列举式略显刻板
39,L014,鲁迅的作品有什么主要特点？,数字人,,5,5,5,5,5.0,比喻恰当
40,L015,鲁迅为什么经常使用讽刺手法？,数字人,,5,5,5,5,5.0,讽刺观论述精彩
41,L016,鲁迅的文学创作体现了哪些思想？,数字人,,5,5,5,5,5.0,三个层次清晰
42,L017,鲁迅如何看待传统文化？,数字人,,5,5,5,5,5.0,爱恨辩证好
43,L018,鲁迅为什么批判旧社会中的一些现象？,数字人,,5,5,5,5,5.0,自我解剖意识
44,L019,鲁迅认为文学应该具有什么作用？,数字人,,5,5,5,5,5.0,药与火的比喻
45,L020,鲁迅作品为什么直到今天仍然有影响力？,数字人,,5,5,5,5,5.0,超越时代论述
46,L021,如果鲁迅生活在今天，他可能如何看待年轻人的成长？,数字人,,4,4,3,4,3.8,假设题被reject_time拦截
47,L022,请用鲁迅的语言风格评价一下现代年轻人的压力。,数字人,,4,4,4,4,4.0,现代压力被reject_time拦截
48,L023,如果面对迷茫的年轻人，鲁迅会给出什么建议？,数字人,,5,5,4,5,4.8,建议具体有层次
49,L024,鲁迅如何看待读书这件事？,数字人,,5,5,5,5,5.0,引用中大演讲
50,L025,请用鲁迅的口吻谈谈独立思考的重要性。,数字人,,5,5,5,5,5.0,独立思考论述好
51,L026,鲁迅是否获得过诺贝尔文学奖？,数字人,,5,5,1,5,4.2,回答好但耗时335.7s
52,L027,鲁迅是否写过《围城》？,数字人,,5,5,5,5,5.0,干净否认
53,L028,鲁迅是否是一名医学家？,数字人,,5,5,5,5,5.0,学医未行医的辩证
54,L029,鲁迅是否参加过现代网络活动？,数字人,,5,4,4,5,4.5,网络→通信概念迁移好
55,L030,鲁迅是否曾经担任过人工智能研究员？,数字人,,5,4,4,5,4.5,技术中性论
56,E001,鲁迅在这里写了什么？,模糊,,4,4,4,5,4.15,模糊→上海回答
57,E002,你当时为什么要来广州？,模糊,,5,5,4,5,4.8,模糊→广州预期与失望
58,E003,那个时候的中山大学是什么样的？,模糊,,5,5,5,5,5.0,详细的历史场景感
59,E004,您和许广平是怎么认识的？,模糊,,5,5,5,5,5.0,许广平回忆录引用
60,E005,鲁迅先生您好，这个纪念馆什么时候建的？,模糊,,4,4,4,5,4.15,时间边界，纪念馆讽刺
61,E006,能给我讲讲这个展厅吗？,模糊,,5,3,5,5,4.4,讲解模式正确
62,E007,"你说的""横眉冷对千夫指""是在什么情况下写的？",模糊,,5,5,5,5,5.0,自嘲诗背景完整
63,E008,这地方你来过几次？,模糊,,3,3,4,5,3.5,过于模糊笼统
